"sp","code","locality","latitude","longitude","host","date","collector"
"Aphis_rubifolii","CNCHEM049296","United States: Georgia: GA, (Hwy 76 near Dicks Creek)",34.893,-83.6,"Rubus","2002 . 5 . 31","von Dohlen/Maw/Rowe/Foottit"
"Aphis_spiraephila","CNCHEM006135","Canada: New Brunswick: Jemseg (under s end of bridge on Hwy 2)",45.826,-66.118,"Spiraea latifolia","1993 . 8 . 4","Eric Maw/R.G. Foottit"
"Aphis_varians","CNCHEM006071","Canada: New Brunswick: Keswick Ridge (Keswick Ridge Road 1.7 km nw of Stoney Road)",46.025,-66.918,"Epilobium angustifolium","1993 . 8 . 2","Eric Maw/R.G. Foottit"
"Aphis_vernoniae","CNCHEM049316","United States: Georgia: n of Blairsville (Canal Lake, Hwy 19 at R. Burnett Drive)",34.9,-84.002,"Actinomeris alternifolia","2002 . 6 . 1","Maw/Foottit/von Dohlen/Rowe"
"Aphis_viburniphila","CNCHEM007557","Canada: New Brunswick: Madison (University of Wisconsin)",45.893,-66.012,"Viburnum cassinoides","1993 . 6 . 25","Eric Maw/R.G. Foottit"
"Aphis_whiteshellensis","CNCHEM057009","Canada: Ontario: Soper Tshp, nearOskandaga (Hwy 17, logged area)",48.733,-89.898,"Amelanchier bartramiana","2007 . 7 . 17","E.Maw/R.G. Foottit"
"Aphthargelia_symphoricarpi","CNCHEM010257","Canada: Saskatchewan: Craven (Valeport rec. area, south end Last Mountain Lake)",50.746,-104.867,"Symphoricarpos occidentalis","1995 . 7 . 5","Eric Maw"
"Appendiseta_robiniae","CHAN_2006_0218","Canada: British Columbia: Vancouver (Everett Crowley Nature Park)",49.211,-123.041,"Robinia  pseudoacacia","2006 . 8 . 11","C.-K. Chan"
"Artemisaphis_artemisicola","CNCHEM010216","Canada: Alberta: 15.5 km s of New Brigden (on Hwy 28)",51.568,-110.474,"Artemisia cana","1995 . 7 . 3","Eric Maw"
"Asiphonaphis_pruni","CNCHEM010546","Canada: Saskatchewan: 11.7 km w of Cadillac (Hwy 13)",49.728,-107.9,"Prunus virginiana","1995 . 7 . 17","Eric Maw/R.G. Foottit"
"Atarsos_grindeliae","CNCHEM070004","United States: Wyoming: e of Centennial (Hwy 130 (Snowy Range Rd))",41.297,-106.126,"Grindelia","2010 . 6 . 28","Eric Maw/R.G. Foottit"
"Betulaphis_pelei","CNCHEM057273","Canada: Manitoba: e of Churchill (Twin Lakes Rd (fen))",58.658,-93.831,"Betula pumila","2007 . 7 . 23","E.Maw/R.G. Foottit"
"Boernerina_variabilis","CNCHEM051720","Canada: Ontario: s of Larder Lake (Hwy 624)",47.995,-79.756,"Alnus","2004 . 8 . 26","Eric Maw/A. Badiss"
"Brachycaudus_rumexicolens","2012EM_0481","Canada: British Columbia: Rose Lake/Broman Lake, Hwy 16 near Wilhite Road",54.401,-126.07,"Castelleja miniata","2012 . 7 . 31","Eric Maw"
"Brachyunguis_tetrapteralis","CNCHEM054151","United States: Utah: w of Mills",39.481,-112.012,"Sarcobatus vermiculatus","2005 . 9 . 17","Eric Maw/R.G. Foottit"
"Braggia_agathona","CNCHEM061776","United States: Utah: UT, (Hwy 40, 10 mi E of Strawberry Reservoir)",41.195,-110.93,"Eriogonum corymbosum","2008 . 9 . 9","K.S. Pike"
"Braggia_echinata","CNCHEM061780","United States: Utah: UT, (Hwy 40 & Currant Creek)",40.2,-110.907,"Eriogonum corymbosum","2008 . 9 . 9","K.S. Pike"
"Braggia_eriogoni","CNCHEM072136","United States: Washington: Mattawa (29 SW)",46.66,-119.78,"Eriogonum","2011 . 7 . 12","K.S. Pike"
"Braggia_urovaneta","CNCHEM054158","United States: Utah: e of Cove Fort (Hwy 70 at SSR70 (ranch exit 8))",38.59,-112.484,,"2005 . 9 . 17","Eric Maw/R.G. Foottit"
"Cachryphora_canadensis","CNCHEM012215","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake, s. shore (Puffers Bay); Puffer Shore Rd s of marsh)",44.564,-78.046,"Solidago hispida","1996 . 8 . 15","Eric Maw"
"Cachryphora_serotinae","CNCHEM062564","Canada: Manitoba: Winnipeg (Wildwood Park)",49.848,-97.135,"Solidago gigantea","2008 . 7 . 1","R.J. Lamb/P.A. MacKay"
"Calaphis_betulaecolens","CNCHEM007600","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Betula papyrifera","1993 . 7 . 4","Eric Maw"
"Calaphis_flava","CNCHEM054888","Canada: Ontario: Algonquin Prov. Park, Lake of Two Rivers",45.58,-78.5,"Betula papyrifera","2007 . 6 . 7","C. Thompson"
"Calaphis_leonardi","CNCHEM008969","Canada: Ontario: Mer Bleue Conservation Area (Dohlman Ridge w of Anderson Rd)",45.404,-75.565,"Betula populifolia","1995 . 5 . 27","Eric Maw"
"Callipterinella_calliptera","CHAN_2006_0126","Canada: British Columbia: Vancouver (Yukon St & W 11 Ave (Vancouver City Hall))",49.261,-123.113,"Betula pendula","2006 . 6 . 22","C.-K. Chan"
"Capitophorus_hudsonicus","CNCHEM028886","Canada: British Columbia: e of Okanagan Falls (Forest Service Road 201)",49.322,-119.476,"Shepherdia canadensis","1999 . 7 . 16","Eric Maw/R.G. Foottit"
"Capitophorus_xanthii","CNCHEM039342","Canada: Alberta: Oldman Dam Recreational Area",49.559,-113.87,"Elaeagnus commutata","2001 . 7 . 29","Eric Maw/R.G. Foottit"
"Carolinaia_rhois","CNCHEM003804","Canada: Québec: Parc de la Gatineau (Belvédère Champlain)",45.509,-75.911,"Rhus typhina","1994 . 8 . 23","Eric Maw"
"Catamergus_fulvae","CNCHEM003876","Canada: Ontario: Mer Bleue Conservation Area (Dohlman Ridge w of Anderson Rd)",45.404,-75.565,"Impatiens capensis","1994 . 9 . 25","Eric Maw"
"Catamergus_kickapoo","CNCHEM049238","United States: South Carolina: Picket Post (Hwy 11 at Oconee Station Road)",34.83,-83.046,"Polygonatum biflorum","2002 . 5 . 29","Maw/von Dohlen/Foottit/Rowe"
"Cavariella_digitata","CNCHEM057584","Canada: British Columbia: Kitimat (Radley Park at Kitimat River)",54.049,-128.688,"Salix discolor","2007 . 8 . 19","Eric Maw/D.I. Barnes"
"Cavariella_konoi","CNCHEM007238","Canada: Québec: Parc de la Gatineau (Camp Fortune lodge)",45.54,-75.85,"Salix","1992 . 7 . 29","Eric Maw"
"Cavariella_salicis","CNCHEM057342","Canada: Manitoba: s of Churchill (Goose Creek Rd (weir))",58.672,-94.162,"sweeping/beating","2007 . 7 . 25","Torbjorn Ekrem/Elisabeth Stur"
"Cavariella_theobaldi","CNCHEM003818","Canada: Ontario: Halpenny",45.123,-76.296,,"1994 . 9 . 16","Eric Maw"
"Cedoaphis_incognita","CNCHEM068371","United States: Washington: Manastash (lower end of Manastash)",46.993,-120.854,"Symphoricarpos","2009 . 6 . 16","G. Graf/D. Graf"
"Cepegillettea_myricae","CNCHEM006103","Canada: New Brunswick: McAdam (8.2 km e of R.R. crossing in town)",45.606,-67.227,"Comptonia peregrina","1993 . 8 . 3","Eric Maw/R.G. Foottit"
"Cerataphis_brasiliensis","CNCHEM071707_1","Brazil: Pará : Belém",-1.455,-48.5,"Astrocaryum aculeatum","2010 . 6 . 20","A.M. Lunz"
"Cerataphis_fransseni","CNCHEM054004",,,,"Styrax benzoin","1993 . 2 . 9","D. Stern"
"Ceruraphis_viburnicola","CNCHEM007462","Canada: Ontario: Oxford on Rideau, Kemptville (Kemptville forest; margin of nursery beds)",45.025,-75.65,"Viburnum cassinoides","1993 . 5 . 30","Eric Maw"
"Chaitophorus_macrostachyae","CNCHEM010254","Canada: Saskatchewan: Craven (Valeport rec. area, south end Last Mountain Lake)",50.746,-104.867,"Salix interior","1995 . 7 . 5","Eric Maw"
"Chaitophorus_nigrae","CNCHEM006017","Canada: New Brunswick: New Denmark (Maple Grove Cemetary)",47.012,-67.601,"Salix","1993 . 8 . 2","Eric Maw/R.G. Foottit"
"Chaitophorus_nigricentrus","CNCHEM063627","Canada: Alberta: Cold Lake Provincial Park (lakeshore trail)",54.463,-110.137,"Salix interior","2009 . 7 . 13","Eric Maw/R.G. Foottit"
"Chaitophorus_nudus","CNCHEM061593","Canada: Nova Scotia: New Minas",45.066,-64.451,"Populus tremuloides","2008 . 8 . 23","Eric Maw/C. Thompson"
"Chaitophorus_pallipes","CNCHEM007191","Canada: Ontario: Ottawa (Central Experimental Farm, arboretum)",45.391,-75.704,"Salix","1992 . 7 . 7","Eric Maw"
"Chaitophorus_populialbae","CNCHEM064139","Canada: Ontario: Greater Napanee, (Deseronto Cemetery, Hwy 2 at Unger Island Rd)",44.201,-77.03,"Populus alba","2009 . 9 . 17","Eric Maw"
"Chaitophorus_populicola","CNCHEM006399","Canada: Nova Scotia: e of Hansport (1.6 km e of bridge then 0.5 km s on McKinley Rd. to RR)",45.053,-64.161,"Populus tremuloides","1993 . 8 . 8","Eric Maw/R.G. Foottit"
"Chaitophorus_populifolii","CNCHEM007224","Canada: Ontario: n of Burritts Rapids (on Dwyer Hill Rd @ Paden Rd [Parathecabius site 10])",44.995,-75.814,"Populus balsamifera","1992 . 7 . 19","Eric Maw"
"Chaitophorus_pusillus","CNCHEM039621","Canada: British Columbia: Brisco (Brisco Road)",50.834,-116.321,"Salix","2001 . 8 . 2","Eric Maw/R.G. Foottit"
"Chaitophorus_stevensis","CNCHEM025937","Canada: Ontario: Ottawa (Walkley Rd/Johnston/power right of way)",45.373,-75.64,"Populus tremuloides","1998 . 5 . 30","Eric Maw"
"Chaitophorus_viminalis","CNCHEM063333","Canada: Alberta: Lethbridge (Research Station Road at pond)",49.694,-112.762,"Salix","2009 . 7 . 3","Eric Maw/R.G. Foottit"
"Chaitophorus_viminicola","CNCHEM049304","United States: Georgia: n of Young Harris",34.949,-83.847,"Salix","2002 . 5 . 31","Rowe/Maw/Foottit/von Dohlen"
"Chromaphis_juglandicola","CNCHEM059972","Canada: Ontario: Lincoln, Vineland Station (Millennium Forest)",43.193,-79.396,"Juglans regia","2008 . 6 . 23","Eric Maw/B. Brunet"
"Cinara_atlantica","CNCHEM112610","United States: Hawaii: Waimea Canyon State Park (Makaha Ridge Rd)",22.121,-159.695,"Pinus","2004 . 3 . 16","Ross H. Miller/R.G. Foottit/K.S. Pike"
"Cinara_braggii","CNCHEM007534","Canada: Prince Edward Island: Roseneath (Hwy 321 at jct 311)",46.219,-62.608,"Picea","1993 . 6 . 24","Eric Maw/R.G. Foottit"
"Cinara_brevispinosa","CNCHEM013024","Canada: British Columbia: n of 70 Mile House (7.5 km s of  junction 83 Mile Road)",51.395,-121.364,,"1994 . 7 . 10","R.G. Foottit"
"Cinara_canatra","CNCHEM010279","Canada: Manitoba: nw of Selkirk",50.621,-96.527,"Pinus banksiana","1995 . 7 . 7","Eric Maw"
"Cinara_chinookiana","CNCHEM013083","Canada: British Columbia: Osoyoos (Mount Kobau)",49.117,-119.667,"Abies lasiocarpa","1994 . 7 . 14","R.G. Foottit"
"Cinara_confinis","CNCHEM007531","Canada: Prince Edward Island: Roseneath (Hwy 321 at jct 311)",46.219,-62.608,"Abies","1993 . 6 . 24","Eric Maw/R.G. Foottit"
"Cinara_costata","CNCHEM007729","Canada: Ontario: Ottawa (Central Experimental Farm)",45.393,-75.717,"Picea abies","1994 . 6 . 15","Eric Maw"
"Cinara_cronartii","CNCHEM049276","United States: North Carolina: Shooting Creek/Rainbow Springs (Hwy 64 bridge at Buck Creek)",35.07,-83.604,"Pinus virginiana","2002 . 5 . 30","Maw/Foottit/von Dohlen/Rowe"
"Cinara_cupressi","CNCHEM033310","Canada: British Columbia: near Pavilion (Diamond Ranch)",50.902,-121.812,"Juniperus scopularum","2000 . 7 . 20","Eric Maw/R.G. Foottit"
"Cinara_curtihirsuta","CNCHEM028799","United States: Idaho: ID, (Warm Lake Road)",44.597,-115.844,"Abies concolor","1999 . 7 . 13","Eric Maw/R.G. Foottit"
"Cinara_curvipes","CNCHEM007559","Canada: New Brunswick: Madison (University of Wisconsin)",45.893,-66.012,"Abies balsamea","1993 . 6 . 25","Eric Maw/R.G. Foottit"
"Cinara_fornacula","CNCHEM006062","Canada: New Brunswick: 4.7 km e of Gordonsville (Hwy 107)",46.473,-67.476,"Picea glauca","1993 . 8 . 2","R.G. Foottit/Eric Maw"
"Cinara_gracilis","CNCHEM049196","United States: Virginia: Wintergreen (Horizons Village housing development of f Hwy 161)",37.883,-78.91,"Pinus taeda","2002 . 5 . 26","R.G. Foottit/Eric Maw"
"Cinara_hottesi","CNCHEM006101","Canada: New Brunswick: Acadia Forestry Experimental Station (intersection access roads 321 & 16)",46.022,-66.294,"Picea mariana","1993 . 8 . 3","R.G. Foottit/Eric Maw"
"Cinara_jucunda","CNCHEM039826","Canada: Alberta: Jasper National Park (Hwy 16, west of east park gate)",53.211,-117.86,"Picea","2001 . 8 . 6","Eric Maw/R.G. Foottit"
"Cinara_juniperi","CNCHEM028674","United States: Colorado: CO, (near Loveland Pass, Hwy 6)",39.646,-105.868,"Juniperus communis","1999 . 7 . 9","Eric Maw/R.G. Foottit"
"Cinara_laricifex","CNCHEM006204","Canada: Nova Scotia: Clifton (abandoned RR on Black Rock Road 1 km from main rd)",45.334,-63.428,"Larix laricina","1993 . 8 . 4","R.G. Foottit/Eric Maw"
"Cinara_mariana","CNCHEM057138","Canada: Manitoba: 35 km w of Thompson (Hwy 391)",55.913,-98.34,"Picea glauca","2007 . 7 . 20","E.Maw/R.G. Foottit"
"Cinara_nigra","CNCHEM006679","Canada: New Brunswick: s of Fredericton (0.9 km e of hwy 101: Doak Rd (UNB woodlot/wildlife refuge])",45.9,-66.663,"Pinus banksiana","1993 . 8 . 13","R.G. Foottit/Eric Maw"
"Cinara_nigripes","CNCHEM033263","Canada: British Columbia: BC, (Canim Lake Road at Eagle Creek Road)",51.857,-120.864,"Picea","2000 . 7 . 20","R.G. Foottit/Eric Maw"
"Cinara_nimbata","CNCHEM033281","Canada: British Columbia: BC, (Clinton-Pavillion Road at jct Pear Lake Road)",50.995,-121.793,"Picea glauca","2000 . 7 . 20","R.G. Foottit/Eric Maw"
"Cinara_obscura","CNCHEM006091","Canada: New Brunswick: Acadia Forestry Experimental Station (100 m w intersection access roads 6 & 16)",46.021,-66.369,"Picea glauca","1993 . 8 . 3","R.G. Foottit/Eric Maw"
"Cinara_occidentalis","CNCHEM054211","United States: California: e of Mount Shasta [City] (FR 31, below Mt. Shasta Ski Area)",41.311,-122.209,"Abies lasiocarpa","2005 . 9 . 28","Eric Maw/R.G. Foottit"
"Cinara_parvicornis","CNCHEM029088","Canada: Manitoba: Sandilands Provincial Forest (nw corner)",49.655,-96.229,"Pinus banksiana","1999 . 7 . 21","Eric Maw/R.G. Foottit"
"Cinara_pergandei","CNCHEM013064","Canada: British Columbia: 2 km w of Sorrento (Shuswap lake area, e of Chase)",50.88,-119.496,"Pinus contorta","1994 . 7 . 14","R.G. Foottit"
"Cinara_petersoni","CNCHEM033069","Canada: British Columbia: Chilcotin Grassland Reserve (Deere Park grassland)",51.929,-121.285,"Juniperus communis","2000 . 7 . 18","Eric Maw/R.G. Foottit"
"Cinara_pilicornis","CHAN_2006_0104","Canada: British Columbia: Vancouver (2010 Harrison Drive)",49.209,-123.065,"Picea amorika","2006 . 6 . 14","C.-K. Chan"
"Cinara_pinea","CHAN_2006_0395","Canada: British Columbia: Surrey (David Hunter Garden Centre, 15175 - 72 Avenue)",49.134,-122.802,"Pinus sylvestris","2006 . 9 . 11","C.-K. Chan"
"Cinara_pseudotaxifoliae","CNCHEM013021","Canada: British Columbia: Spuzzum (5 km s of Spuzzum)",49.643,-121.41,"Pseudotsuga menziesii","1994 . 7 . 10","R.G. Foottit"
"Cinara_strobi","CNCHEM007552","Canada: New Brunswick: Petitcodiac (Murray Woodlands plantation, hwy 2, 1 km n jct 885 & 905)",45.936,-65.161,"Pinus strobus","1993 . 6 . 25","Eric Maw/R.G. Foottit"
"Cinara_terminalis","CNCHEM028684","United States: Colorado: Eagle",39.672,-106.833,"Pinus edulis","1999 . 7 . 10","Eric Maw/R.G. Foottit"
"Cinara_tsugae","CNCHEM026596","Canada: British Columbia: Kitchener",49.157,-116.34,"Tsuga","1998 . 8 . 18","Eric Maw/R.G. Foottit"
"Cinara_tujafilina","CNCHEM064460","New Zealand: Christchurch, Harewood (41 Watson Road)",-43.477,172.565,"Juniperus","2009 . 11 . 24","R. van Toor"
"Cinara_watsoni","CNCHEM049237","United States: South Carolina: Picket Post (Hwy 11 at Oconee Station Road)",34.83,-83.046,"Pinus taeda","2002 . 5 . 29","Foottit/Maw/von Dohlen/Rowe"
"Clydesmithia_canadensis","CNCHEM070145","Canada: Manitoba: nw of Minnedosa (Hwy 16A)",50.266,-99.847,"Populus balsamifera","2010 . 7 . 16","Eric Maw"
"Cornaphis_populi","CNCHEM069922","United States: Colorado: e of Craig (Hwy 40 along Yampa River)",40.499,-107.374,"Populus angustifolia","2010 . 6 . 24","Eric Maw/R.G. Foottit"
"Cryptomyzus_galeopsidis","CNCHEM061415","Canada: New Brunswick: ne of Black Brook (Hwy 17)",47.386,-67.576,"Galeopsis tetrahit","2008 . 8 . 19","Eric Maw/C. Thompson"
"Cryptomyzus_ribis","CNCHEM007426","Canada: Ontario: Packenham Tshp., Packenham (Hwy 15, n of jct with Rd to Antrim)",45.34,-76.288,"Ribes triste","1993 . 5 . 26","Eric Maw"
"Decorosiphon_corynothrix","CNCHEM058090","United States: Alaska: Murphy Dome",64.956,-148.37,"Pleurozium schreberi","2007 . 8 . 1","K.S. Pike"
"Drepanaphis_acerifoliae","CNCHEM007596","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Acer rubrum","1993 . 7 . 4","Eric Maw"
"Drepanaphis_carolinensis","CNCHEM017796","Canada: Ontario: Ottawa (Central Experimental Farm)",45.393,-75.717,"Acer saccharum","1997 . 9 . 3","Eric Maw"
"Drepanaphis_parva","CNCHEM056903","United States: Michigan: Hiawatha N.F., sw of Eckerman Corner (Hwy MI-28)",46.335,-85.047,"Acer rubrum","2007 . 6 . 28","Eric Maw/B. Brunet"
"Drepanaphis_utahensis","CNCHEM054149","United States: Utah: e of Avon (Porcupine Resevoir)",42.521,-111.745,"Acer","2005 . 9 . 16","Eric Maw/R.G. Foottit"
"Dysaphis_foeniculus","CNCHEM064372","Australia: Queensland: Toowoomba",-27.55,151.9,"Daucus carota","2009 . 10 . 8","J. Duff"
"Dysaphis_plantaginea","CHAN_2006_0162","Canada: British Columbia: Vancouver (2233 Harrison Drive)",49.209,-123.062,"Malus domestica","2006 . 6 . 28","C.-K. Chan"
"Dysaphis_tulipae","CNCHEM062486","United States: Washington: Pierce Co. (WSU research plots)",47.186,-122.33,"Iris","2008 . 10 . 6","G. Chastagner"
"Elatobium_abietinum","CNCHEM055086","Canada: British Columbia: Cobble Hill (Cobble Hill Seed Orchard)",48.687,-123.604,"Picea engelmannii","1998 . 3 . 9","M. Hall"
"Eomacrosiphon_nigromaculosum","CNCHEM010094","Canada: Alberta: Fabyan (campground, Battle River @ Hwy 14)",52.898,-111.01,"Rosa acicularis","1995 . 6 . 27","Eric Maw"
"Epameibaphis_atricornis","CNCHEM010215","Canada: Alberta: 15.5 km s of New Brigden (on Hwy 28)",51.568,-110.474,"Artemisia cana","1995 . 7 . 3","Eric Maw"
"Ericaphis_gentneri","CHAN_2006_0416","Canada: British Columbia: Vancouver (24 E 23 Avenue)",49.25,-123.102,"Crataegus laevigata","2006 . 9 . 15","C.-K. Chan"
"Ericaphis_lilii","CHAN_2006_0083","Canada: British Columbia: Vancouver (27 W 22 Ave)",49.251,-123.106,"Lilium","2006 . 6 . 10","C.-K. Chan"
"Ericaphis_wakibae","2012EM_0348","Canada: British Columbia: Smithers, Hudson Bay Mountain Nordic Ski Centre",54.729,-127.217,"Pachystima myrsinites","2012 . 7 . 26","Eric Maw"
